table_name,column_name,column_description
stock_transfer_items,qty,"The quantity of the product being transferred."
stock_transfer_items,stock_transfer_id,"Unique identifier for the stock transfer event."
stock_transfers,origin_loc_id,"Unique identifier for the origin location of the stock transfer."
stock_transfers,stock_transfer_type,"Type of stock transfer."
stock_transfers,arrival_timestamp,"Timestamp indicating when the stock transfer arrived at the destination location."
stock_transfers,destination_loc_id,"Unique identifier for the destination location of the stock transfer."
stock_transfers,driver_id,"Unique identifier for the driver associated with the stock transfer."
stock_transfers,status,"Current status of the stock transfer."
stock_transfers,stock_transfer_id,"Unique identifier for the stock transfer."
stock_transfers,departure_timestamp,"Timestamp indicating when the stock transfer departed from the origin location."
stock_transfers,vehicle_id,"Unique identifier for the vehicle used for the stock transfer."
supplier_master,phone_nbr,"Phone number of the supplier."
supplier_master,contact_nm,"Name of the supplier's contact person."
supplier_master,state_cd,"State code of the supplier's location."
supplier_master,supplier_id,"Unique identifier for the supplier."
supplier_master,supplier_nm,"Name of the supplier."
supplier_master,address,"Physical address of the supplier."
supplier_master,city,"City where the supplier is located."
supplier_master,country_cd,"Country code of the supplier's location."
supplier_master,zip_cd,"Zip code of the supplier's location."
supplier_master,contact_email,"Email address of the supplier's contact person."
